         1311378 function calls (1282198 primitive calls) in 2.097 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       28    0.000    0.000    0.000    0.000 inspect.py:2798(__init__)
        1    0.000    0.000    0.000    0.000 csv_logs.py:14(<module>)
        3    0.000    0.000    0.000    0.000 subprocess.py:1207(_close_pipe_fds)
        3    0.000    0.000    0.000    0.000 precision_recall.py:14(<module>)
      451    0.000    0.000    0.000    0.000 inspect.py:159(isfunction)
     1163    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 cmd.py:7(<module>)
      106    0.000    0.000    0.000    0.000 {built-in method numpy.array}
      226    0.000    0.000    0.000    0.000 {built-in method builtins.all}
        1    0.000    0.000    0.000    0.000 wandb_summary.py:2(<module>)
        6    0.000    0.000    0.000    0.000 enum.py:914(_create_pseudo_member_)
     12/2    0.000    0.000    0.000    0.000 pyparsing.py:1926(makeOptionalList)
        1    0.000    0.000    0.000    0.000 flatten.py:1(<module>)
       50    0.000    0.000    0.000    0.000 _internal.py:780(_ufunc_doc_signature_formatter)
       68    0.000    0.000    0.000    0.000 pickletools.py:1124(__init__)
        1    0.000    0.000    0.000    0.000 sbcharsetprober.py:29(<module>)
       28    0.000    0.000    0.000    0.000 pyparsing.py:3997(__init__)
        1    0.000    0.000    0.000    0.000 parametrize.py:1(<module>)
      270    0.000    0.000    0.000    0.000 python_message.py:1101(_AddSerializePartialToStringMethod)
        1    0.000    0.000    0.000    0.000 rnn.py:470(LSTM)
       30    0.000    0.000    0.000    0.000 getlimits.py:40(<lambda>)
       69    0.000    0.000    0.000    0.000 status_codes.py:120(<genexpr>)
        1    0.000    0.000    0.000    0.000 deepspeed.py:73(DeepSpeedPlugin)
        1    0.000    0.000    0.000    0.000 langthaimodel.py:4(<module>)
      146    0.000    0.000    0.000    0.000 _jit_internal.py:816(is_optional)
     1358    0.000    0.000    0.000    0.000 api_implementation.py:142(Type)
       18    0.000    0.000    0.000    0.000 core.py:992(__init__)
      270    0.000    0.000    0.000    0.000 python_message.py:1308(_AddMergeFromMethod)
       46    0.000    0.000    0.000    0.000 dtypes.py:65(__init__)
        1    0.000    0.000    0.000    0.000 calendar.py:1(<module>)
      196    0.000    0.000    0.000    0.000 linecache.py:147(lazycache)
       28    0.000    0.000    0.000    0.000 __init__.py:384(__getattr__)
        1    0.000    0.000    0.000    0.000 _trace.py:525(ignore_lib_warnings)
     1048    0.000    0.000    0.000    0.000 {method 'zfill' of 'str' objects}
       16    0.000    0.000    0.000    0.000 observer.py:11(_with_args)
        1    0.000    0.000    0.000    0.000 langturkishmodel.py:4(<module>)
        1    0.000    0.000    0.000    0.000 configparser.py:522(LegacyInterpolation)
        1    0.000    0.000    0.000    0.000 tensorboard.py:40(TensorBoardLogger)
        4    0.000    0.000    0.000    0.000 average_precision.py:14(<module>)
        1    0.000    0.000    0.000    0.000 adaptive.py:3(<module>)
        1    0.000    0.000    0.000    0.000 selector_events.py:1(<module>)
        1    0.000    0.000    0.000    0.000 collections.py:15(<module>)
        1    0.000    0.000    0.000    0.000 early_stopping.py:14(<module>)
       27    0.000    0.000    0.000    0.000 utils.py:102(__init__)
        1    0.000    0.000    0.000    0.000 quoprimime.py:5(<module>)
        1    0.000    0.000    0.000    0.000 predict_loop.py:14(<module>)
       95    0.000    0.000    0.000    0.000 re.py:270(escape)
     1010    0.000    0.000    0.000    0.000 encoder.py:82(_VarintSize)
        1    0.000    0.000    0.000    0.000 type_checkers.py:31(<module>)
     1522    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      885    0.000    0.000    0.000    0.000 version.py:420(_parse_letter_version)
        1    0.000    0.000    0.000    0.000 parameter.py:1(<module>)
        1    0.000    0.000    0.000    0.000 hmac.py:1(<module>)
        8    0.000    0.000    0.000    0.000 ntpath.py:524(abspath)
       36    0.000    0.000    0.000    0.000 _state.py:107(_try_get_jit_cached_function)
        1    0.000    0.000    0.000    0.000 data_types.py:1622(Classes)
        1    0.000    0.000    0.000    0.000 loadfilesfromdisk.py:1(<module>)
        7    0.000    0.000    0.000    0.000 lazy.py:86(_memoize)
       93    0.000    0.000    0.000    0.000 ntpath.py:44(normcase)
        1    0.000    0.000    0.000    0.000 internal_runqueue.py:32(Api)
        1    0.000    0.000    0.000    0.000 summary_record.py:2(<module>)
        1    0.000    0.000    0.000    0.000 importer.py:1(<module>)
       52    0.000    0.000    0.000    0.000 pyparsing.py:2826(__str__)
        1    0.000    0.000    0.000    0.000 initialise.py:23(init)
        1    0.000    0.000    0.000    0.000 {built-in method nt.unlink}
        1    0.000    0.000    0.000    0.000 data_types.py:586(Object3D)
       10    0.000    0.000    0.000    0.000 api.py:50(hubmethod)
        1    0.000    0.000    0.000    0.000 upsampling.py:1(<module>)
       26    0.000    0.000    0.000    0.000 config.py:76(needs_values)
       28    0.000    0.000    0.000    0.000 _pswindows.py:674(wrap_exceptions)
        1    0.000    0.000    0.000    0.000 saving.py:51(ModelIO)
        1    0.000    0.000    0.000    0.000 logger_connector.py:33(LoggerConnector)
        1    0.000    0.000    0.000    0.000 contextlib.py:76(inner)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:658(_code_to_timestamp_pyc)
      262    0.000    0.000    0.000    0.000 frontend.py:731(get_char)
        1    0.000    0.000    0.000    0.000 training_trick_connector.py:14(<module>)
        3    0.000    0.000    0.000    0.000 hamming_distance.py:14(<module>)
        1    0.000    0.000    0.000    0.000 data_connector.py:25(DataConnector)
        1    0.000    0.000    0.000    0.000 timer.py:38(Timer)
      147    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
        1    0.000    0.000    0.000    0.000 collate.py:1(<module>)
      7/4    0.000    0.000    0.000    0.000 frontend.py:927(<listcomp>)
        2    0.000    0.000    0.000    0.000 initialise.py:74(wrap_stream)
        1    0.000    0.000    0.000    0.000 prune.py:1(<module>)
        1    0.000    0.000    0.000    0.000 artifacts.py:171(Artifact)
       58    0.000    0.000    0.000    0.000 inspect.py:91(ismethoddescriptor)
        3    0.000    0.000    0.000    0.000 os.py:1100(add_dll_directory)
        1    0.000    0.000    0.000    0.000 fused.py:1(<module>)
       50    0.000    0.000    0.000    0.000 inspect.py:494(unwrap)
        1    0.000    0.000    0.000    0.000 types.py:22(ParamType)
        1    0.000    0.000    0.000    0.000 _dtypes.py:506(UnionType)
       41    0.000    0.000    0.000    0.000 symbol_database.py:122(RegisterFileDescriptor)
        1    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 optimizers.py:15(<module>)
       80    0.000    0.000    0.000    0.000 posixpath.py:60(isabs)
        3    0.000    0.000    0.000    0.000 getlimits.py:382(__new__)
        1    0.000    0.000    0.000    0.000 _dtypes.py:766(TypedDictType)
       15    0.000    0.000    0.000    0.000 inspect.py:607(getdoc)
      270    0.000    0.000    0.000    0.000 python_message.py:1356(_AddWhichOneofMethod)
        1    0.000    0.000    0.000    0.000 contextlib.py:112(__enter__)
       68    0.000    0.000    0.000    0.000 status_codes.py:114(doc)
        4    0.000    0.000    0.000    0.000 {built-in method _thread.start_new_thread}
      987    0.000    0.000    0.000    0.000 python_message.py:268(_IsMessageSetExtension)
        2    0.000    0.000    0.000    0.000 ansitowin32.py:73(__init__)
        1    0.000    0.000    0.000    0.000 enums.py:18(EnumStr)
        1    0.000    0.000    0.000    0.000 data_loading.py:40(TrainerDataLoadingMixin)
        1    0.000    0.000    0.000    0.000 metric.py:38(MetricCollection)
       34    0.000    0.000    0.000    0.000 warnings.py:181(_add_filter)
        2    0.000    0.000    0.000    0.000 __init__.py:1584(cpu_times)
        1    0.000    0.000    0.000    0.000 precision_plugin.py:14(<module>)
        3    0.000    0.000    0.000    0.000 explained_variance.py:14(<module>)
       50    0.000    0.000    0.000    0.000 __init__.py:57(find_spec)
      522    0.000    0.000    0.000    0.000 os.py:697(__iter__)
       42    0.000    0.000    0.000    0.000 decoder.py:174(ReadTag)
        1    0.000    0.000    0.000    0.000 augmentation.py:922(RandomCrop)
        1    0.000    0.000    0.000    0.000 resources.py:169(_path_from_reader)
       21    0.000    0.000    0.000    0.000 typing.py:990(__init_subclass__)
        1    0.000    0.000    0.000    0.000 gpu_stats_monitor.py:14(<module>)
        1    0.000    0.000    0.000    0.000 rpc_sequential.py:41(RPCSequentialPlugin)
      721    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      270    0.000    0.000    0.000    0.000 python_message.py:1019(_AddStrMethod)
        1    0.000    0.000    0.000    0.000 lr_scheduler.py:1(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:1424(debug)
     1330    0.000    0.000    0.000    0.000 {built-in method builtins.id}
        1    0.000    0.000    0.000    0.000 events.py:4(<module>)
        1    0.000    0.000    0.000    0.000 ddp.py:51(DDPPlugin)
        1    0.000    0.000    0.000    0.000 step_result.py:27(Result)
      542    0.000    0.000    0.000    0.000 version.py:76(<lambda>)
        1    0.000    0.000    0.000    0.000 native_amp.py:14(<module>)
        1    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 wandb_artifacts.py:1027(MultiHandler)
        1    0.000    0.000    0.000    0.000 core.py:1442(MultiCommand)
        6    0.000    0.000    0.000    0.000 enum.py:993(_decompose)
       12    0.000    0.000    0.000    0.000 datetime.py:492(__new__)
        1    0.000    0.000    0.000    0.000 ssl.py:223(_TLSMessageType)
        1    0.000    0.000    0.000    0.000 log.py:26(RefLogEntry)
        3    0.000    0.000    0.000    0.000 ansi.py:26(__init__)
        1    0.000    0.000    0.000    0.000 data_types.py:2436(_ClassesIdType)
        1    0.000    0.000    0.000    0.000 container.py:256(ModuleDict)
      139    0.000    0.000    0.000    0.000 _jit_internal.py:844(is_future)
        5    0.000    0.000    0.000    0.000 threading.py:777(__init__)
        1    0.000    0.000    0.000    0.000 orientation.py:1(<module>)
        1    0.000    0.000    0.000    0.000 enums.py:51(DistributedType)
       73    0.000    0.000    0.000    0.000 _jit_internal.py:677(get_torchscript_modifier)
        3    0.000    0.000    0.000    0.000 {built-in method nt._add_dll_directory}
      120    0.000    0.000    0.000    0.000 __init__.py:218(_acquireLock)
        1    0.000    0.000    0.000    0.000 frontend.py:607(build_AugAssign)
        1    0.000    0.000    0.000    0.000 parallel.py:29(ParallelPlugin)
       25    0.000    0.000    0.000    0.000 warnings.py:165(simplefilter)
        1    0.000    0.000    0.000    0.000 _state.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:87(setup_integrations)
        1    0.000    0.000    0.000    0.000 representer.py:2(<module>)
        1    0.000    0.000    0.000    0.000 data_types.py:2143(Plotly)
        1    0.000    0.000    0.000    0.000 bootstrapping.py:14(<module>)
      216    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:621(_validate_hash_pyc)
        1    0.000    0.000    0.000    0.000 container.py:398(ParameterList)
       96    0.000    0.000    0.000    0.000 configparser.py:1359(__iter__)
        1    0.000    0.000    0.000    0.000 configparser.py:1307(ConverterMapping)
        1    0.000    0.000    0.000    0.000 container.py:526(ParameterDict)
        1    0.000    0.000    0.000    0.000 conv_relu.py:2(<module>)
      270    0.000    0.000    0.000    0.000 python_message.py:1217(<listcomp>)
        1    0.000    0.000    0.000    0.000 process.py:10(<module>)
        1    0.000    0.000    0.000    0.000 container.py:29(Sequential)
  362/359    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
        1    0.000    0.000    0.000    0.000 records.py:1(<module>)
       42    0.000    0.000    0.000    0.000 decoder.py:252(DecodeField)
     1053    0.000    0.000    0.000    0.000 _builtins.py:125(_is_special_functional_bound_op)
        1    0.000    0.000    0.000    0.000 motion.py:1(<module>)
       14    0.000    0.000    0.000    0.000 hashlib.py:126(__get_openssl_constructor)
       34    0.000    0.000    0.000    0.000 _jit_internal.py:39(createResolutionCallbackFromEnv)
        1    0.000    0.000    0.000    0.000 _dtypes.py:676(NDArrayType)
       23    0.000    0.000    0.000    0.000 _state.py:116(_set_jit_function_cache)
        1    0.000    0.000    0.000    0.000 upload_job.py:1(<module>)
      271    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 _iotools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 storage.py:1(<module>)
        1    0.000    0.000    0.000    0.000 file_stream.py:146(FileStreamApi)
        1    0.000    0.000    0.000    0.000 prediction_writer.py:42(BasePredictionWriter)
      270    0.000    0.000    0.000    0.000 python_message.py:1026(_AddReprMethod)
       25    0.000    0.000    0.000    0.000 inspect.py:183(isgeneratorfunction)
        2    0.000    0.000    0.000    0.000 utils.py:4(<module>)
        1    0.000    0.000    0.000    0.000 configparser.py:448(ExtendedInterpolation)
        2    0.000    0.000    0.000    0.000 memory.py:1(<module>)
       50    0.000    0.000    0.000    0.000 _jit_internal.py:665(is_ignored_fn)
        1    0.000    0.000    0.000    0.000 {function SeedSequence.generate_state at 0x00000256528F9430}
        1    0.000    0.000    0.000    0.000 transformer.py:1(<module>)
        1    0.000    0.000    0.000    0.000 predict_loop.py:26(PredictLoop)
        1    0.000    0.000    0.000    0.000 pyramid.py:120(__init__)
        1    0.000    0.000    0.000    0.000 evaluation_loop.py:14(<module>)
        1    0.000    0.000    0.000    0.000 flatten.py:48(Unflatten)
      477    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        3    0.000    0.000    0.000    0.000 psnr.py:14(<module>)
        1    0.000    0.000    0.000    0.000 traceback.py:1(<module>)
        1    0.000    0.000    0.000    0.000 collections.py:25(MetricCollection)
        1    0.000    0.000    0.000    0.000 comet.py:53(CometLogger)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
        1    0.000    0.000    0.000    0.000 struct.py:1(<module>)
       15    0.000    0.000    0.000    0.000 arrayprint.py:1500(_array_str_implementation)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:93(_add_aliases)
        1    0.000    0.000    0.000    0.000 memory.py:124(ModelSummary)
        2    0.000    0.000    0.000    0.000 sgd.py:1(<module>)
      818    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      207    0.000    0.000    0.000    0.000 socket.py:78(<lambda>)
      103    0.000    0.000    0.000    0.000 typing.py:886(<genexpr>)
        1    0.000    0.000    0.000    0.000 augmentation3d.py:756(RandomCrop3D)
        1    0.000    0.000    0.000    0.000 tasks.py:1(<module>)
        1    0.000    0.000    0.000    0.000 base.py:20(_BasicAugmentationBase)
        2    0.000    0.000    0.000    0.000 adamw.py:1(<module>)
        2    0.000    0.000    0.000    0.000 frontend.py:834(build_IfExp)
        1    0.000    0.000    0.000    0.000 argparse.py:14(<module>)
        1    0.000    0.000    0.000    0.000 proto_util.py:2(<module>)
        1    0.000    0.000    0.000    0.000 image.py:9(ImageSequential)
        1    0.000    0.000    0.000    0.000 training_trick_connector.py:22(TrainingTricksConnector)
        1    0.000    0.000    0.000    0.000 _dtypes.py:18(TypeRegistry)
       75    0.000    0.000    0.000    0.000 pathlib.py:715(_format_parsed_parts)
        1    0.000    0.000    0.000    0.000 extract_patches.py:1(<module>)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:765(exec_module)
        1    0.000    0.000    0.000    0.000 package_exporter.py:133(PackageExporter)
      130    0.000    0.000    0.000    0.000 weakref.py:441(get)
      210    0.000    0.000    0.000    0.000 socket.py:93(<lambda>)
      270    0.000    0.000    0.000    0.000 python_message.py:885(_AddClearFieldMethod)
        1    0.000    0.000    0.000    0.000 flips.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _exceptions.py:15(<module>)
        1    0.000    0.000    0.000    0.000 lr_monitor.py:14(<module>)
      209    0.000    0.000    0.000    0.000 socket.py:88(<lambda>)
        1    0.000    0.000    0.000    0.000 _dtypes.py:575(ListType)
        1    0.000    0.000    0.000    0.000 grad_scaler.py:41(GradScaler)
       46    0.000    0.000    0.000    0.000 enum_type_wrapper.py:88(values)
        1    0.000    0.000    0.000    0.000 metric.py:31(Metric)
        2    0.000    0.000    0.000    0.000 pyparsing.py:4450(delimitedList)
      439    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
       28    0.000    0.000    0.000    0.000 __init__.py:391(__getitem__)
     1010    0.000    0.000    0.000    0.000 python_message.py:219(_PropertyName)
        1    0.000    0.000    0.000    0.000 quasirandom.py:1(<module>)
        1    0.000    0.000    0.000    0.000 container.py:143(ModuleList)
      208    0.000    0.000    0.000    0.000 socket.py:83(<lambda>)
        1    0.000    0.000    0.000    0.000 _recursive.py:312(ConcreteTypeStore)
        1    0.000    0.000    0.000    0.000 gzip.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pooling.py:710(FractionalMaxPool2d)
        1    0.000    0.000    0.000    0.000 enums.py:19(LightningEnum)
        2    0.000    0.000    0.000    0.000 metadata.py:427(zip_children)
        1    0.000    0.000    0.000    0.000 parser.py:253(OptionParser)
      307    0.000    0.000    0.000    0.000 typing.py:328(__repr__)
        6    0.000    0.000    0.000    0.000 numeric.py:2521(extend_all)
        1    0.000    0.000    0.000    0.000 selecting.py:9(FilterIterDataPipe)
        1    0.000    0.000    0.000    0.000 base64.py:3(<module>)
        1    0.000    0.000    0.000    0.000 arraypad.py:1(<module>)
        2    0.000    0.000    0.000    0.000 adam.py:1(<module>)
       56    0.000    0.000    0.000    0.000 enum.py:391(__getattr__)
       12    0.000    0.000    0.000    0.000 __init__.py:857(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1565(_log)
        1    0.000    0.000    0.000    0.000 core.py:814(BaseCommand)
        2    0.000    0.000    0.000    0.000 ntpath.py:537(_readlink_deep)
      270    0.000    0.000    0.000    0.000 python_message.py:1033(_AddUnicodeMethod)
        1    0.000    0.000    0.000    0.000 morphology.py:1(<module>)
       26    0.000    0.000    0.000    0.000 _dtypes.py:39(add)
        3    0.000    0.000    0.000    0.000 getlimits.py:415(_init)
      606    0.000    0.000    0.000    0.000 ast.py:809(__init__)
        2    0.000    0.000    0.000    0.000 pyparsing.py:1288(addParseAction)
        1    0.000    0.000    0.000    0.000 _polybase.py:1(<module>)
      430    0.000    0.000    0.000    0.000 __init__.py:419(<genexpr>)
        1    0.000    0.000    0.000    0.000 cookies.py:3(<module>)
       24    0.000    0.000    0.000    0.000 pyparsing.py:2813(parseImpl)
        1    0.000    0.000    0.000    0.000 augmentation3d.py:90(RandomVerticalFlip3D)
        2    0.000    0.000    0.000    0.000 adamax.py:1(<module>)
        1    0.000    0.000    0.000    0.000 find_file_dependencies.py:1(<module>)
        4    0.000    0.000    0.000    0.000 annotations.py:303(<listcomp>)
        1    0.000    0.000    0.000    0.000 pprint.py:11(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1672(MemoizedZipManifests)
        1    0.000    0.000    0.000    0.000 _dtypes.py:161(Type)
        1    0.000    0.000    0.000    0.000 transforms.py:262(ComposeTransform)
       25    0.000    0.000    0.000    0.000 inspect.py:172(_has_code_flag)
      320    0.000    0.000    0.000    0.000 overrides.py:145(array_function_dispatch)
        1    0.000    0.000    0.000    0.000 sysconfig.py:141(is_python_build)
        1    0.000    0.000    0.000    0.000 callable.py:28(MapIterDataPipe)
        2    0.000    0.000    0.000    0.000 zipfile.py:2294(__init__)
       75    0.000    0.000    0.000    0.000 pathlib.py:705(_from_parsed_parts)
       98    0.000    0.000    0.000    0.000 configparser.py:1139(_unify_values)
       24    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        1    0.000    0.000    0.000    0.000 csv_logs.py:103(CSVLogger)
        1    0.000    0.000    0.000    0.000 sysconfig.py:124(_is_python_source_dir)
        1    0.000    0.000    0.000    0.000 structures.py:3(<module>)
      270    0.000    0.000    0.000    0.000 python_message.py:248(_AddSlots)
        3    0.000    0.000    0.000    0.000 __init__.py:441(__getattr__)
        2    0.000    0.000    0.000    0.000 rmsprop.py:1(<module>)
        3    0.000    0.000    0.000    0.000 ssim.py:14(<module>)
        2    0.000    0.000    0.000    0.000 _defines.py:276(DEFINE_string)
        1    0.000    0.000    0.000    0.000 fuser_method_mappings.py:1(<module>)
       15    0.000    0.000    0.000    0.000 arrayprint.py:461(wrapper)
        1    0.000    0.000    0.000    0.000 transports.py:1(<module>)
        5    0.000    0.000    0.000    0.000 tempfile.py:148(<listcomp>)
        5    0.000    0.000    0.000    0.000 {built-in method _winapi.CreatePipe}
     1141    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
        2    0.000    0.000    0.000    0.000 distributed.py:14(<module>)
      128    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
        1    0.000    0.000    0.000    0.000 locks.py:1(<module>)
        2    0.000    0.000    0.000    0.000 rprop.py:1(<module>)
        1    0.000    0.000    0.000    0.000 double.py:14(<module>)
        1    0.000    0.000    0.000    0.000 readfilesfromzip.py:1(<module>)
      225    0.000    0.000    0.000    0.000 inspect.py:64(ismodule)
        3    0.000    0.000    0.000    0.000 auc.py:14(<module>)
        1    0.000    0.000    0.000    0.000 progress.py:230(ProgressBar)
        3    0.000    0.000    0.000    0.000 __init__.py:114(WINFUNCTYPE)
       21    0.000    0.000    0.000    0.000 frontend.py:778(build_NameConstant)
       65    0.000    0.000    0.000    0.000 _state.py:97(_try_get_jit_cached_overloads)
        3    0.000    0.000    0.000    0.000 mean_squared_log_error.py:14(<module>)
      258    0.000    0.000    0.000    0.000 pynvml.py:292(<lambda>)
      148    0.000    0.000    0.000    0.000 _jit_internal.py:796(is_list)
        2    0.000    0.000    0.000    0.000 zipfile.py:2188(make)
       25    0.000    0.000    0.000    0.000 encoder.py:582(SpecificEncoder)
        1    0.000    0.000    0.000    0.000 dirichlet.py:1(<module>)
        1    0.000    0.000    0.000    0.000 kernels_geometry.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dice.py:1(<module>)
      165    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       18    0.000    0.000    0.000    0.000 __init__.py:1962(find_distributions)
        1    0.000    0.000    0.000    0.000 sharded.py:14(<module>)
      865    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
        1    0.000    0.000    0.000    0.000 base.py:70(IndexFile)
        1    0.000    0.000    0.000    0.000 _pswindows.py:282(cpu_times)
       23    0.000    0.000    0.000    0.000 encoder.py:809(MapEncoder)
        3    0.000    0.000    0.000    0.000 confusion_matrix.py:14(<module>)
      135    0.000    0.000    0.000    0.000 pyparsing.py:363(__new__)
        1    0.000    0.000    0.000    0.000 getlimits.py:1(<module>)
       21    0.000    0.000    0.000    0.000 _jit_internal.py:226(can_compile_class)
        1    0.000    0.000    0.000    0.000 bootstrapping.py:49(BootStrapper)
        3    0.000    0.000    0.000    0.000 iou.py:14(<module>)
      231    0.000    0.000    0.000    0.000 inspect.py:81(ismethod)
        1    0.000    0.000    0.000    0.000 uniform.py:1(<module>)
        1    0.000    0.000    0.000    0.000 precision_plugin.py:28(PrecisionPlugin)
        1    0.000    0.000    0.000    0.000 grad_mode.py:1(<module>)
        3    0.000    0.000    0.000    0.000 request.py:2654(getproxies_registry)
        1    0.000    0.000    0.000    0.000 __init__.py:292(Process)
        1    0.000    0.000    0.000    0.000 quantization.py:85(QuantizationAwareTraining)
        1    0.000    0.000    0.000    0.000 caching.py:1(<module>)
       72    0.000    0.000    0.000    0.000 six.py:194(find_spec)
       46    0.000    0.000    0.000    0.000 python_message.py:400(_GetInitializeDefaultForMap)
      270    0.000    0.000    0.000    0.000 python_message.py:829(_AddListFieldsMethod)
       41    0.000    0.000    0.000    0.000 descriptor_pool.py:359(_InternalAddFileDescriptor)
        2    0.000    0.000    0.000    0.000 dataclasses.py:770(_hash_add)
        1    0.000    0.000    0.000    0.000 globals.py:1(<module>)
        1    0.000    0.000    0.000    0.000 root.py:1(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:1417(setLevel)
        3    0.000    0.000    0.000    0.000 _structures.py:4(<module>)
        5    0.000    0.000    0.000    0.000 {built-in method marshal.dumps}
        2    0.000    0.000    0.000    0.000 asgd.py:1(<module>)
        1    0.000    0.000    0.000    0.000 optimizers.py:28(TrainerOptimizersMixin)
        1    0.000    0.000    0.000    0.000 charsetprober.py:29(<module>)
        1    0.000    0.000    0.000    0.000 gpu_stats_monitor.py:34(GPUStatsMonitor)
        1    0.000    0.000    0.000    0.000 core.py:6436(__new__)
      468    0.000    0.000    0.000    0.000 pyparsing.py:2153(__str__)
        2    0.000    0.000    0.000    0.000 zipfile.py:1206(__init__)
        3    0.000    0.000    0.000    0.000 mean_absolute_error.py:14(<module>)
        1    0.000    0.000    0.000    0.000 native_amp.py:26(NativeMixedPrecisionPlugin)
       42    0.000    0.000    0.000    0.000 decoder.py:274(InnerDecode)
       14    0.000    0.000    0.000    0.000 specifiers.py:319(_require_version_compare)
        1    0.000    0.000    0.000    0.000 dropout.py:1(<module>)
       60    0.000    0.000    0.000    0.000 typing.py:750(<genexpr>)
        3    0.000    0.000    0.000    0.000 r2score.py:14(<module>)
      4/2    0.000    0.000    0.000    0.000 pyparsing.py:3939(parseImpl)
        2    0.000    0.000    0.000    0.000 _defines.py:69(DEFINE)
        2    0.000    0.000    0.000    0.000 {built-in method nt.scandir}
       15    0.000    0.000    0.000    0.000 _collections_abc.py:766(__contains__)
        2    0.000    0.000    0.000    0.000 dataclasses.py:589(_hash_fn)
       34    0.000    0.000    0.000    0.000 tokenize.py:325(find_cookie)
        1    0.000    0.000    0.000    0.000 queues.py:1(<module>)
        1    0.000    0.000    0.000    0.000 data_types.py:256(Histogram)
        3    0.000    0.000    0.000    0.000 _six.py:36(__new__)
        1    0.000    0.000    0.000    0.000 mixins.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:61(<listcomp>)
      146    0.000    0.000    0.000    0.000 _jit_internal.py:806(is_dict)
        2    0.000    0.000    0.000    0.000 {built-in method nt.readlink}
        4    0.000    0.000    0.000    0.000 retry.py:154(decorator)
        1    0.000    0.000    0.000    0.000 summary_record.py:14(SummaryRecord)
        1    0.000    0.000    0.000    0.000 pyparsing.py:2765(Regex)
        1    0.000    0.000    0.000    0.000 util.py:10(<module>)
        1    0.000    0.000    0.000    0.000 early_stopping.py:35(EarlyStopping)
      538    0.000    0.000    0.000    0.000 typing.py:193(<listcomp>)
        1    0.000    0.000    0.000    0.000 states.py:79(TrainerState)
       21    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
        3    0.000    0.000    0.000    0.000 mean_squared_error.py:14(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:19(Future)
       36    0.000    0.000    0.000    0.000 pyparsing.py:3781(__str__)
        1    0.000    0.000    0.000    0.000 binned_precision_recall.py:14(<module>)
        1    0.000    0.000    0.000    0.000 debugging.py:15(<module>)
        1    0.000    0.000    0.000    0.000 bricks.py:20(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:1372(_clear_cache)
        1    0.000    0.000    0.000    0.000 mix_augmentation.py:1(<module>)
        1    0.000    0.000    0.000    0.000 embedding_ops.py:1(<module>)
       26    0.000    0.000    0.000    0.000 version.py:495(_cmpkey)
        1    0.000    0.000    0.000    0.000 _collections.py:1(<module>)
        1    0.000    0.000    0.000    0.000 wandb_settings.py:275(Source)
      285    0.000    0.000    0.000    0.000 ast.py:173(__init__)
        2    0.000    0.000    0.000    0.000 {built-in method _socket.gethostname}
        8    0.000    0.000    0.000    0.000 core.py:8096(__init__)
       48    0.000    0.000    0.000    0.000 sre_compile.py:432(_generate_overlap_table)
        1    0.000    0.000    0.000    0.000 base_subprocess.py:1(<module>)
        1    0.000    0.000    0.000    0.000 wandb_config.py:3(<module>)
        1    0.000    0.000    0.000    0.000 von_mises.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1550(makeRecord)
